Cluster ID,confidence_score,MAROB_ID,IID,MESSZEIT,KENNUNG,GEOGR_BREITE,GEOGR_LAENGE,FEUCHTTEMPERATUR,WASSERTEMPERATUR,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER
0,0.99993086,8764880,384,2019-04-15 01:00,6201065, 54.0000, 006.6000,,, 1031.30,,509
0,0.99993086,8826284,384,2019-04-15 01:00,6201065, 54.0000, 006.6000,,, 1028.60,,509
1,0.99993086,8826285,384,2019-04-15 01:00,6201066, 55.2000, 007.2000,,, 1030.90,,509
1,0.99993086,8764882,384,2019-04-15 01:00,6201066, 55.2000, 007.2000,,, 1033.00,,509
2,0.99998385,8773461,10256,2019-04-15 01:00,9V8896, 28.5000,-068.6000,, 23.80, 1021.60,20000,3
2,0.99998385,8773443,256,2019-04-15 01:00,9V8896, 28.5000,-068.6000,, 23.80, 1021.60,20010,3
3,0.99998385,8827339,256,2019-04-15 01:00,A8RH6, 01.1000, 004.0000,, 29.50, 1011.10,20010,3
3,0.99998385,8827342,10256,2019-04-15 01:00,A8RH6, 01.1000, 004.0000, 25.20, 29.50, 1011.10,20000,3
4,0.99998385,8826219,10256,2019-04-15 01:00,A8ZU9,-23.4000,-044.0000,,, 1016.50,20000,2
4,0.99998385,8826978,256,2019-04-15 01:00,A8ZU9,-23.4000,-044.0000,,, 1016.50,20010,2
7870,,8825007,10384,2019-04-15 01:00,DBBA, 54.1000, 012.1000,, 09.10, 1029.70,,509
7871,,8763675,10384,2019-04-15 01:00,DBBA, 54.4000, 012.4000,, 05.90, 1032.50,,509
7872,,8826248,10384,2019-04-15 01:00,DBBE, 13.3000,-122.8000,, 26.90, 1010.60,,509
7873,,8764931,10384,2019-04-15 01:00,DBBE, 12.8000,-120.5000,, 26.80, 1009.70,,509
6,0.9999308586120605,8826614,10384,2019-04-15 01:00,DBBH, 16.7000,-061.9000,, 26.40, 1018.40,,509
5,0.9999308586120605,8765149,384,2019-04-15 01:00,DBBH, 16.6000,-062.0000,, 26.60, 1016.30,,509
6,0.9999308586120605,8826408,384,2019-04-15 01:00,DBBH, 16.7000,-061.9000,, 26.40, 1018.40,,509
5,0.9999308586120605,8765389,10384,2019-04-15 01:00,DBBH, 16.6000,-062.0000,, 26.60, 1016.30,,509
7,0.9999308586120605,8826084,10384,2019-04-15 01:00,DBBT,-29.4000,-037.0000,, 24.70, 1021.10,,509
7874,,8764309,10384,2019-04-15 01:00,DBBT,-30.1000,-036.6000,, 24.50, 1021.50,,509
7,0.9999308586120605,8826205,384,2019-04-15 01:00,DBBT,-29.4000,-037.0000,, 24.70, 1021.10,,509
8,0.99993086,8824802,10384,2019-04-15 01:00,DBEA, 54.0000, 008.2000,, 07.20, 1029.10,,509
8,0.99993086,8763352,10384,2019-04-15 01:00,DBEA, 54.0000, 008.2000,, 07.00, 1031.00,,509
