MAROB_ID,IID,MESSZEIT,MESSZEIT_UNIX_TS,GEOGR_BREITE,GEOGR_LAENGE,KENNUNG,FAHRTRICHTUNG,FAHRTGESCHWINDIGKEIT,LUFTTEMPERATUR,TAUPUNKTTEMPERATUR,REL_FEUCHTE,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER,VERLAUF1,VERLAUF2
8396683,10256,2019-04-12 00:00,1555027200,11,110.4,A8AW2,225,7,29,29,,1012,20000,1,0,0
8396660,256,2019-04-12 00:00,1555027200,11,110.4,A8AW2,225,7,29,29,,1012,20010,1,0,0
8518552,10256,2019-04-13 00:00,1555113600,6.9,107.7,A8AW2,225,7,29,27.7,,1013,20000,1,0,0
8518639,256,2019-04-13 00:00,1555113600,6.9,107.7,A8AW2,225,7,29,27.7,,1013,20010,1,0,0
8576765,10256,2019-04-13 12:00,1555156800,5,106.3,A8AW2,225,7,29,,,1011,20000,510,2,2
8576731,256,2019-04-13 12:00,1555156800,5,106.3,A8AW2,225,7,29,,,1011,20010,510,2,2
8643650,10256,2019-04-14 00:00,1555200000,2.9,105.1,A8AW2,225,7,29,,,1012,20000,510,2,2
8643577,256,2019-04-14 00:00,1555200000,2.9,105.1,A8AW2,225,7,29,,,1012,20010,510,2,2
9149759,10256,2019-04-18 00:00,1555545600,6.1,91.7,A8AW2,270,7,29,,,1011,20000,510,1,1
9149727,256,2019-04-18 00:00,1555545600,6.1,91.7,A8AW2,270,7,29,,,1011,20010,510,1,1
9211455,10256,2019-04-18 12:00,1555588800,6,89.1,A8AW2,270,7,31,,,1011,20000,510,2,2
9211532,256,2019-04-18 12:00,1555588800,6,89.1,A8AW2,270,7,31,,,1011,20010,510,2,2
9273070,10256,2019-04-19 00:00,1555632000,5.9,86.6,A8AW2,270,7,29,,,1011,20000,510,1,1
9273066,256,2019-04-19 00:00,1555632000,5.9,86.6,A8AW2,270,7,29,,,1011,20010,510,1,1
9304325,10256,2019-04-19 06:00,1555653600,5.9,85,A8AW2,270,7,33.5,26.2,,1013,20000,3,1,1
9304420,256,2019-04-19 06:00,1555653600,5.9,85,A8AW2,270,7,33.5,26.2,,1013,20010,3,1,1
9335811,10256,2019-04-19 12:00,1555675200,5.9,83.7,A8AW2,270,7,32,,,1010,20000,510,2,2
9335862,256,2019-04-19 12:00,1555675200,5.9,83.7,A8AW2,270,7,32,,,1010,20010,510,2,2
9378114,10256,2019-04-19 18:00,1555696800,5.8,82.3,A8AW2,270,7,29,27,,1010,20000,3,1,1
9378008,256,2019-04-19 18:00,1555696800,5.8,82.3,A8AW2,270,7,29,27,,1010,20010,3,1,1
9406197,10256,2019-04-20 00:00,1555718400,5.8,81,A8AW2,270,7,28,,,1009,20000,510,1,1
9406246,256,2019-04-20 00:00,1555718400,5.8,81,A8AW2,270,7,28,,,1009,20010,510,1,1
9425343,10256,2019-04-20 06:00,1555740000,6,79.6,A8AW2,315,7,32,30.7,,1011,20000,62,6,1
9425318,256,2019-04-20 06:00,1555740000,6,79.6,A8AW2,315,7,32,30.7,,1011,20010,62,6,1
9462414,10256,2019-04-20 12:00,1555761600,6.8,78.4,A8AW2,315,7,32,,,1008,20000,510,1,1
9462279,256,2019-04-20 12:00,1555761600,6.8,78.4,A8AW2,315,7,32,,,1008,20010,510,1,1
9524728,10256,2019-04-21 00:00,1555804800,8.6,76.4,A8AW2,315,7,25,,,1010,20000,29,9,8
9524685,256,2019-04-21 00:00,1555804800,8.6,76.4,A8AW2,315,7,25,,,1010,20010,29,9,8
9550344,10256,2019-04-21 06:00,1555826400,9.8,75.8,A8AW2,315,7,30,28.7,,1011,20000,60,6,6
9550376,256,2019-04-21 06:00,1555826400,9.8,75.8,A8AW2,315,7,30,28.7,,1011,20010,60,6,6
9586917,10256,2019-04-21 12:00,1555848000,11.1,75.2,A8AW2,315,7,31,,,1008,20000,510,1,1
9586857,256,2019-04-21 12:00,1555848000,11.1,75.2,A8AW2,315,7,31,,,1008,20010,510,1,1
9612252,10256,2019-04-21 18:00,1555869600,12.3,74.7,A8AW2,315,7,28,26.7,,1010,10000,2,0,0
9612198,256,2019-04-21 18:00,1555869600,12.3,74.7,A8AW2,315,7,28,26.7,,1010,10010,2,0,0
9648591,10256,2019-04-22 00:00,1555891200,13.4,74.1,A8AW2,315,7,28,,,1009,20000,510,1,1
9648503,256,2019-04-22 00:00,1555891200,13.4,74.1,A8AW2,315,7,28,,,1009,20010,510,1,1
